hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_opportunity_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,cache_capacity,cache_current_size,cache_utilization,cache_total_requests,cache_total_hits,cache_total_misses,cache_hit_rate,cache_miss_rate,cache_evictions,cache_cic_opportunities,cache_cic_rate,cache_noma_paired_hits,cache_noma_awareness_enabled,policy,run,seed
0.71,0.29,0.8448275862068966,0.3103448275862069,1.0,0.0,0.0,7.180137590512977,49.51819027939984,0.020194599082834656,200,142,29,49,0,200,200,1.0,10587,5813,4774,0.5490696136771512,0.45093038632284876,0,0,0.0,0,True,topk,40,2065
0.675,0.325,0.3939393939393939,0.696969696969697,1.0,0.0,0.0,6.950229895404011,42.122605426690974,0.02374022190389843,200,135,33,26,0,200,200,1.0,10852,5948,4904,0.5481017323995577,0.45189826760044227,0,0,0.0,0,True,topk,41,2066
0.795,0.205,0.5238095238095238,0.6666666666666666,1.0,0.0,0.0,8.034780102285698,76.52171525986378,0.013068185894736569,200,159,21,22,0,200,200,1.0,11093,6107,4986,0.5505273595961417,0.44947264040385826,0,0,0.0,0,True,topk,42,2067
0.715,0.285,0.5689655172413793,0.6206896551724138,1.0,0.0,0.0,7.262564263069903,50.08665009013726,0.019965399925935823,200,143,29,33,0,200,200,1.0,11350,6250,5100,0.5506607929515418,0.4493392070484582,0,0,0.0,0,True,topk,43,2068
0.72,0.28,0.5357142857142857,0.5714285714285714,1.0,0.0,0.0,7.3096066953021435,52.21147639501531,0.01915287727997424,200,144,28,30,0,200,200,1.0,11606,6394,5212,0.5509219369291746,0.44907806307082543,0,0,0.0,0,True,topk,44,2069
0.73,0.27,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,7.3992085307429525,54.80895207957742,0.01824519466360339,200,146,27,36,0,200,200,1.0,11860,6540,5320,0.551433389544688,0.448566610455312,0,0,0.0,0,True,topk,45,2070
0.695,0.305,0.2903225806451613,0.7741935483870968,1.0,0.0,0.0,7.105295029436904,45.84061309314132,0.02181471696218697,200,139,31,18,0,200,200,1.0,12121,6679,5442,0.5510271429750021,0.4489728570249979,0,0,0.0,0,True,topk,46,2071
0.72,0.28,0.6071428571428571,0.5,1.0,0.0,0.0,7.3012814759455775,52.15201054246841,0.01917471617293988,200,144,28,34,0,200,200,1.0,12377,6823,5554,0.551264442110366,0.44873555788963404,0,0,0.0,0,True,topk,47,2072
0.67,0.33,0.8484848484848485,0.30303030303030304,1.0,0.0,0.0,6.786583248304127,41.13080756547956,0.024312676049650053,200,134,33,56,0,200,200,1.0,12643,6957,5686,0.5502649687574152,0.44973503124258485,0,0,0.0,0,True,topk,48,2073
0.725,0.275,0.75,0.4642857142857143,1.0,0.0,0.0,7.33078908324167,52.362779166011926,0.019097534850653772,200,145,28,42,0,200,200,1.0,12898,7102,5796,0.5506280043417584,0.4493719956582416,0,0,0.0,0,True,topk,49,2074
0.685,0.315,0.515625,0.59375,1.0,0.0,0.0,6.971174893058085,43.56984308161303,0.022951654843623052,200,137,32,33,0,200,200,1.0,13161,7239,5922,0.5500341919307044,0.44996580806929565,0,0,0.0,0,True,topk,50,2075
0.705,0.295,0.7666666666666667,0.4,1.0,0.0,0.0,7.143332232478614,47.62221488319076,0.020998603329408994,200,141,30,46,0,200,200,1.0,13420,7380,6040,0.5499254843517138,0.45007451564828616,0,0,0.0,0,True,topk,51,2076
0.745,0.255,0.6923076923076923,0.4230769230769231,1.0,0.0,0.0,7.531396572491271,57.933819788394395,0.01726107485493862,200,149,26,36,0,200,200,1.0,13671,7529,6142,0.550727818008924,0.449272181991076,0,0,0.0,0,True,topk,52,2077
0.655,0.345,0.42857142857142855,0.6,1.0,0.0,0.0,6.740955887843814,38.519747930536084,0.025960709862466718,200,131,35,30,0,200,200,1.0,13940,7660,6280,0.5494978479196556,0.4505021520803444,0,0,0.0,0,True,topk,53,2078
0.725,0.275,0.875,0.21428571428571427,1.0,0.0,0.0,7.314724468482803,52.2480319177343,0.01913947690076676,200,145,28,49,0,200,200,1.0,14195,7805,6390,0.549841493483621,0.450158506516379,0,0,0.0,0,True,topk,54,2079
0.665,0.335,0.4852941176470588,0.6470588235294118,1.0,0.0,0.0,6.792231285172315,39.95430167748421,0.025028594119154347,200,133,34,33,0,200,200,1.0,14462,7938,6524,0.5488867376573088,0.4511132623426912,0,0,0.0,0,True,topk,55,2080
0.795,0.205,0.5476190476190477,0.5714285714285714,1.0,0.0,0.0,8.033422005998272,76.50878100950736,0.013070395146875169,200,159,21,23,0,200,200,1.0,14703,8097,6606,0.5507039379718425,0.44929606202815753,0,0,0.0,0,True,topk,56,2081
0.74,0.26,0.5192307692307693,0.6153846153846154,1.0,0.0,0.0,7.519797774542542,57.84459826571186,0.017287698937875812,200,148,26,27,0,200,200,1.0,14955,8245,6710,0.5513206285523237,0.44867937144767633,0,0,0.0,0,True,topk,57,2082
0.74,0.26,0.8653846153846154,0.2692307692307692,1.0,0.0,0.0,7.461462363119154,57.39586433168581,0.01742285810387113,200,148,26,45,0,200,200,1.0,15207,8393,6814,0.5519168803840336,0.44808311961596636,0,0,0.0,0,True,topk,58,2083
0.715,0.285,0.7586206896551724,0.4482758620689655,1.0,0.0,0.0,7.235331970752194,49.89884117760134,0.020040545559781082,200,143,29,44,0,200,200,1.0,15464,8536,6928,0.5519917227108122,0.4480082772891878,0,0,0.0,0,True,topk,59,2084
0.675,0.325,0.3939393939393939,0.6363636363636364,1.0,0.0,0.0,6.910070672949237,41.879216199692344,0.02387819283034591,200,135,33,26,0,200,200,1.0,15729,8671,7058,0.5512747154936741,0.44872528450632587,0,0,0.0,0,True,topk,60,2085
0.66,0.34,0.6029411764705882,0.5882352941176471,1.0,0.0,0.0,6.73931716859466,39.64304216820388,0.02522510749192857,200,132,34,41,0,200,200,1.0,15997,8803,7194,0.5502906795024067,0.44970932049759327,0,0,0.0,0,True,topk,61,2086
0.74,0.26,0.8461538461538461,0.3076923076923077,1.0,0.0,0.0,7.465954769873414,57.43042130671857,0.017412374439311554,200,148,26,44,0,200,200,1.0,16249,8951,7298,0.5508646685949905,0.4491353314050095,0,0,0.0,0,True,topk,62,2087
0.715,0.285,0.8275862068965517,0.3103448275862069,1.0,0.0,0.0,7.218828684918099,49.785025413228276,0.02008636114373243,200,143,29,48,0,200,200,1.0,16506,9094,7412,0.55095116927178,0.44904883072822,0,0,0.0,0,True,topk,63,2088
0.665,0.335,0.7941176470588235,0.35294117647058826,1.0,0.0,0.0,6.74561564420396,39.68009202472918,0.025201554456496376,200,133,34,54,0,200,200,1.0,16773,9227,7546,0.5501102963095451,0.4498897036904549,0,0,0.0,0,True,topk,64,2089
0.775,0.225,0.8043478260869565,0.34782608695652173,1.0,0.0,0.0,7.809551077597162,67.90913980519272,0.014725558339696925,200,155,23,37,0,200,200,1.0,17018,9382,7636,0.5512986249853097,0.4487013750146903,0,0,0.0,0,True,topk,65,2090
0.71,0.29,0.3793103448275862,0.6551724137931034,1.0,0.0,0.0,7.305632566201066,50.38367287035218,0.01984769952308183,200,142,29,22,0,200,200,1.0,17276,9524,7752,0.5512850196804816,0.4487149803195184,0,0,0.0,0,True,topk,66,2091
0.715,0.285,0.3793103448275862,0.6896551724137931,1.0,0.0,0.0,7.291793162896681,50.288228709632286,0.019885369313245634,200,143,29,22,0,200,200,1.0,17533,9667,7866,0.5513602920207609,0.44863970797923913,0,0,0.0,0,True,topk,67,2092
0.725,0.275,0.7678571428571429,0.42857142857142855,1.0,0.0,0.0,7.3379124960920805,52.413660686372005,0.019078995569183903,200,145,28,43,0,200,200,1.0,17788,9812,7976,0.5516078255003373,0.44839217449966273,0,0,0.0,0,True,topk,68,2093
0.77,0.23,0.5869565217391305,0.5217391304347826,1.0,0.0,0.0,7.791782323665932,67.75462890144289,0.014759139208844581,200,154,23,27,0,200,200,1.0,18034,9966,8068,0.5526228235555063,0.4473771764444937,0,0,0.0,0,True,topk,69,2094
0.74,0.26,0.6538461538461539,0.4230769230769231,1.0,0.0,0.0,7.4788168110625,57.52936008509615,0.017382428702854023,200,148,26,34,0,200,200,1.0,18286,10114,8172,0.55310073280105,0.44689926719895,0,0,0.0,0,True,topk,70,2095
0.745,0.255,0.6538461538461539,0.5384615384615384,1.0,0.0,0.0,7.55163700933005,58.089515456385,0.017214810489352833,200,149,26,34,0,200,200,1.0,18537,10263,8274,0.5536494578410746,0.44635054215892545,0,0,0.0,0,True,topk,71,2096
0.695,0.305,0.8225806451612904,0.3225806451612903,1.0,0.0,0.0,7.019692471777196,45.28833852759481,0.022080739380418785,200,139,31,51,0,200,200,1.0,18798,10402,8396,0.5533567400787318,0.4466432599212682,0,0,0.0,0,True,topk,72,2097
0.72,0.28,0.48214285714285715,0.6071428571428571,1.0,0.0,0.0,7.343121651823904,52.45086894159932,0.019065461072026012,200,144,28,27,0,200,200,1.0,19054,10546,8508,0.5534795843392464,0.4465204156607536,0,0,0.0,0,True,topk,73,2098
0.735,0.265,0.6111111111111112,0.48148148148148145,1.0,0.0,0.0,7.446968955343078,55.16273300254131,0.018128180849087565,200,147,27,33,0,200,200,1.0,19307,10693,8614,0.5538405759569068,0.44615942404309317,0,0,0.0,0,True,topk,74,2099
0.705,0.295,0.7833333333333333,0.4,1.0,0.0,0.0,7.143453283734765,47.6230218915651,0.020998247492083615,200,141,30,47,0,200,200,1.0,19566,10834,8732,0.5537156291526116,0.44628437084738837,0,0,0.0,0,True,topk,75,2100
0.72,0.28,0.875,0.25,1.0,0.0,0.0,7.2656798571543035,51.897713265387885,0.019268671721359435,200,144,28,49,0,200,200,1.0,19822,10978,8844,0.5538290788013318,0.4461709211986682,0,0,0.0,0,True,topk,76,2101
0.695,0.305,0.5483870967741935,0.4838709677419355,1.0,0.0,0.0,7.060336671719296,45.55055917238255,0.021953627313675287,200,139,31,34,0,200,200,1.0,20083,11117,8966,0.5535527560623413,0.44644724393765867,0,0,0.0,0,True,topk,77,2102
0.745,0.255,0.4423076923076923,0.6153846153846154,1.0,0.0,0.0,7.556559888360513,58.12738375661933,0.01720359554090758,200,149,26,23,0,200,200,1.0,20334,11266,9068,0.5540474082816956,0.44595259171830437,0,0,0.0,0,True,topk,78,2103
0.72,0.28,0.6428571428571429,0.39285714285714285,1.0,0.0,0.0,7.295587838424629,52.11134170303306,0.019189680543991762,200,144,28,36,0,200,200,1.0,20590,11410,9180,0.5541525012141817,0.4458474987858183,0,0,0.0,0,True,topk,79,2104
0.695,0.305,0.5806451612903226,0.5161290322580645,1.0,0.0,0.0,7.080601832366392,45.6813021442993,0.02189079454962062,200,139,31,36,0,200,200,1.0,20851,11549,9302,0.5538823078029831,0.4461176921970169,0,0,0.0,0,True,topk,80,2105
0.645,0.355,0.5972222222222222,0.5833333333333334,1.0,0.0,0.0,6.576496682667807,36.536092681487816,0.027370195513727772,200,129,36,43,0,200,200,1.0,21122,11678,9444,0.552883249692264,0.447116750307736,0,0,0.0,0,True,topk,81,2106
0.775,0.225,0.7391304347826086,0.43478260869565216,1.0,0.0,0.0,7.828926344882407,68.0776203902818,0.01468911507580767,200,155,23,34,0,200,200,1.0,21367,11833,9534,0.5537979126690691,0.4462020873309309,0,0,0.0,0,True,topk,82,2107
0.695,0.305,0.6935483870967742,0.5161290322580645,1.0,0.0,0.0,7.055283152029017,45.517955819542046,0.021969352137968242,200,139,31,43,0,200,200,1.0,21628,11972,9656,0.5535417051969669,0.4464582948030331,0,0,0.0,0,True,topk,83,2108
0.68,0.32,0.609375,0.5625,1.0,0.0,0.0,6.922109218327726,43.26318261454829,0.02311434202401295,200,136,32,39,0,200,200,1.0,21892,12108,9784,0.5530787502283939,0.4469212497716061,0,0,0.0,0,True,topk,84,2109
0.695,0.305,0.8225806451612904,0.3225806451612903,1.0,0.0,0.0,7.034843538611032,45.38608734587762,0.022033183701851512,200,139,31,51,0,200,200,1.0,22153,12247,9906,0.5528370875276486,0.4471629124723514,0,0,0.0,0,True,topk,85,2110
0.725,0.275,0.7857142857142857,0.39285714285714285,1.0,0.0,0.0,7.336238233937552,52.40170167098251,0.019083349740791927,200,145,28,44,0,200,200,1.0,22408,12392,10016,0.5530167797215281,0.4469832202784719,0,0,0.0,0,True,topk,86,2111
0.705,0.295,0.8166666666666667,0.3333333333333333,1.0,0.0,0.0,7.14491678975513,47.63277859836753,0.02099394638368361,200,141,30,49,0,200,200,1.0,22667,12533,10134,0.5529183394361847,0.44708166056381526,0,0,0.0,0,True,topk,87,2112
0.685,0.315,0.328125,0.75,1.0,0.0,0.0,7.017390748999571,43.858692181247314,0.022800497467354273,200,137,32,21,0,200,200,1.0,22930,12670,10260,0.5525512429132141,0.4474487570867859,0,0,0.0,0,True,topk,88,2113
0.68,0.32,0.578125,0.53125,1.0,0.0,0.0,6.931100073381489,43.319375458634305,0.023084358659669516,200,136,32,37,0,200,200,1.0,23194,12806,10388,0.5521255497111321,0.44787445028886785,0,0,0.0,0,True,topk,89,2114
0.73,0.27,0.48148148148148145,0.6296296296296297,1.0,0.0,0.0,7.420987131703302,54.970275049654084,0.01819164992528617,200,146,27,26,0,200,200,1.0,23448,12952,10496,0.5523712043671102,0.4476287956328898,0,0,0.0,0,True,topk,90,2115
0.705,0.295,0.7666666666666667,0.43333333333333335,1.0,0.0,0.0,7.134239568867985,47.56159712578656,0.021025366270928443,200,141,30,46,0,200,200,1.0,23707,13093,10614,0.5522841354874087,0.44771586451259127,0,0,0.0,0,True,topk,91,2116
0.785,0.215,0.6590909090909091,0.6363636363636364,1.0,0.0,0.0,7.946005120013499,72.2364101819409,0.01384343432185117,200,157,22,29,0,200,200,1.0,23950,13250,10700,0.5532359081419624,0.44676409185803756,0,0,0.0,0,True,topk,92,2117
0.635,0.365,0.8108108108108109,0.35135135135135137,1.0,0.0,0.0,6.469519526816388,34.97037582062912,0.02859563206095421,200,127,37,60,0,200,200,1.0,24223,13377,10846,0.5522437352929035,0.4477562647070965,0,0,0.0,0,True,topk,93,2118
0.705,0.295,0.5,0.5666666666666667,1.0,0.0,0.0,7.213997679715099,48.09331786476733,0.020792909376971674,200,141,30,30,0,200,200,1.0,24482,13518,10964,0.5521607711788252,0.4478392288211748,0,0,0.0,0,True,topk,94,2119
0.75,0.25,0.6,0.48,1.0,0.0,0.0,7.588933012215353,60.711464097722825,0.016471353719791252,200,150,25,30,0,200,200,1.0,24732,13668,11064,0.5526443474041728,0.4473556525958272,0,0,0.0,0,True,topk,95,2120
0.73,0.27,0.8148148148148148,0.37037037037037035,1.0,0.0,0.0,7.3804631336974795,54.670097286647994,0.018291535037092913,200,146,27,44,0,200,200,1.0,24986,13814,11172,0.5528696069799087,0.4471303930200913,0,0,0.0,0,True,topk,96,2121
0.68,0.32,0.8125,0.375,1.0,0.0,0.0,6.88419088693079,43.02619304331744,0.023241656518233695,200,136,32,52,0,200,200,1.0,25250,13950,11300,0.5524752475247525,0.4475247524752475,0,0,0.0,0,True,topk,97,2122
0.74,0.26,0.7307692307692307,0.5384615384615384,1.0,0.0,0.0,7.479466161642367,57.53435508955667,0.01738091959914077,200,148,26,38,0,200,200,1.0,25502,14098,11404,0.5528193867147675,0.4471806132852325,0,0,0.0,0,True,topk,98,2123
0.685,0.315,0.484375,0.625,1.0,0.0,0.0,6.987651084432941,43.672819277705884,0.02289753710749057,200,137,32,31,0,200,200,1.0,25765,14235,11530,0.5524936929943722,0.44750630700562777,0,0,0.0,0,True,topk,99,2124
0.385,0.615,0.25806451612903225,1.0,1.0,0.9838709677419355,0.7258064516129032,4.584435639542776,14.788502063041213,0.06762010078756772,200,77,62,32,90,200,123,0.615,323,200,123,0.6191950464396285,0.3808049535603715,0,122,0.37770897832817335,122,True,lru,0,2025
0.525,0.475,0.3333333333333333,1.0,1.0,0.9791666666666666,0.6458333333333334,5.803305644079103,24.180440183662927,0.041355740110787215,200,105,48,32,62,200,200,1.0,618,400,218,0.6472491909385113,0.3527508090614887,18,216,0.34951456310679613,216,True,lru,1,2026
0.655,0.345,0.24285714285714285,1.0,1.0,0.9714285714285714,0.7285714285714285,7.0616789940612605,40.35245139463577,0.024781641893828893,200,131,35,17,51,200,200,1.0,887,600,287,0.6764374295377678,0.32356257046223225,87,284,0.3201803833145434,284,True,lru,2,2027
0.665,0.335,0.35294117647058826,0.9705882352941176,0.9393939393939394,0.9705882352941176,0.6323529411764706,6.995277062298957,41.14868860175857,0.024302111050928197,200,133,34,24,43,200,200,1.0,1154,800,354,0.6932409012131716,0.3067590987868284,154,350,0.30329289428076256,350,True,lru,3,2028
0.56,0.44,0.22727272727272727,1.0,1.0,1.0,0.7727272727272727,6.242669160629263,28.375768911951194,0.03524133577148015,200,112,44,20,68,200,200,1.0,1442,1000,442,0.6934812760055479,0.3065187239944521,242,438,0.30374479889042993,438,True,lru,4,2029
