hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,phase,policy,run,capacity,current_size,utilization,total_hits,total_misses,evictions,cic_opportunities,cic_rate,noma_paired_hits,noma_awareness_enabled,training_step,epsilon,eval_mode,avg_episode_reward,avg_loss,replay_buffer_size,use_neural_network,cic_count,sic_count,warm_up_steps,beta,action_dim,state_dim
0.83,0.17,0.03676470588235294,0.9632352941176471,0.0,1.0,8.613009665768955,50.66476273981738,0.03947516758877866,800,664,136,5,136,eval,topk,0,,,,,,,,,,,,,,,,,,,,,,,
0.65625,0.34375,0.15636363636363637,0.8436363636363636,0.0,0.7018181818181818,7.497005294852612,21.809469948662144,0.09170328323924652,800,525,275,43,275,eval,topk,1,,,,,,,,,,,,,,,,,,,,,,,
0.64625,0.35375,0.13780918727915195,0.8621908127208481,0.0,0.6466431095406361,6.889369364969195,19.475249088252138,0.10269445032189294,800,517,283,39,283,eval,topk,2,,,,,,,,,,,,,,,,,,,,,,,
0.65375,0.34625,0.0,1.0,0.0,0.48375451263537905,7.2740491126285205,21.00808407979356,0.09520144685272287,800,523,277,0,277,eval,topk,3,,,,,,,,,,,,,,,,,,,,,,,
0.63625,0.36375,0.12371134020618557,0.8762886597938144,0.0,0.6701030927835051,7.2054929056112735,19.808915204429617,0.10096464038337472,800,509,291,36,291,eval,topk,4,,,,,,,,,,,,,,,,,,,,,,,
0.63375,0.36625,0.24573378839590443,0.7542662116040956,0.0,0.7474402730375427,7.548777486531032,20.610996550255376,0.09703557977526417,800,507,293,72,293,eval,topk,5,,,,,,,,,,,,,,,,,,,,,,,
0.67125,0.32875,0.19391634980988592,0.8060836501901141,0.0,0.33079847908745247,7.201708148577438,21.906336573619583,0.09129778469707589,800,537,263,51,263,eval,topk,6,,,,,,,,,,,,,,,,,,,,,,,
0.67,0.33,0.10984848484848485,0.8901515151515151,0.0,0.6401515151515151,7.542904780874822,22.857287214772185,0.08749944738444035,800,536,264,29,264,eval,topk,7,,,,,,,,,,,,,,,,,,,,,,,
0.63,0.37,0.0,1.0,0.0,0.5135135135135135,7.305032237667402,19.74333037207406,0.10130003207710582,800,504,296,0,296,eval,topk,8,,,,,,,,,,,,,,,,,,,,,,,
0.65,0.35,0.13214285714285715,0.8678571428571429,0.0,0.725,6.944185044713368,19.840528699181053,0.10080376537962685,800,520,280,37,280,eval,topk,9,,,,,,,,,,,,,,,,,,,,,,,
0.6575,0.3425,0.14963503649635038,0.8503649635036497,0.0,0.6605839416058394,7.41012921020298,21.63541375241746,0.09244103315456713,800,526,274,41,274,eval,topk,10,,,,,,,,,,,,,,,,,,,,,,,
0.64,0.36,0.21875,0.78125,0.0,0.6041666666666666,7.067571743249359,19.63214373124822,0.1018737447819632,800,512,288,63,288,eval,topk,11,,,,,,,,,,,,,,,,,,,,,,,
0.665,0.335,0.0,1.0,0.0,0.5671641791044776,7.699659655892367,22.984058674305572,0.08701683320343451,800,532,268,0,268,eval,topk,12,,,,,,,,,,,,,,,,,,,,,,,
0.65125,0.34875,0.1003584229390681,0.899641577060932,0.0,0.7921146953405018,7.840401240260029,22.481437248057432,0.08896228376914894,800,521,279,28,279,eval,topk,13,,,,,,,,,,,,,,,,,,,,,,,
0.62625,0.37375,0.13043478260869565,0.8695652173913043,0.0,0.6153846153846154,6.906442127543163,18.47877492319241,0.10823228316341646,800,501,299,39,299,eval,topk,14,,,,,,,,,,,,,,,,,,,,,,,
0.6775,0.3225,0.03488372093023256,0.9651162790697675,0.0,0.7054263565891473,7.735739552838272,23.986789311126426,0.08337922904389239,800,542,258,9,258,eval,topk,15,,,,,,,,,,,,,,,,,,,,,,,
0.6325,0.3675,0.0,1.0,0.0,0.6938775510204082,7.427182475868702,20.21002034249987,0.09896081083076291,800,506,294,0,294,eval,topk,16,,,,,,,,,,,,,,,,,,,,,,,
0.66,0.34,0.13970588235294118,0.8602941176470589,0.0,0.6286764705882353,7.235913130594996,21.28209744292646,0.09397569978069718,800,528,272,38,272,eval,topk,17,,,,,,,,,,,,,,,,,,,,,,,
0.64875,0.35125,0.0,1.0,0.0,0.8683274021352313,7.127578898928595,20.292039569903476,0.09856081706869614,800,519,281,0,281,eval,topk,18,,,,,,,,,,,,,,,,,,,,,,,
0.66625,0.33375,0.1348314606741573,0.8651685393258427,0.0,0.6179775280898876,7.297096110390929,21.863958383193797,0.09147474418618283,800,533,267,36,267,eval,topk,19,,,,,,,,,,,,,,,,,,,,,,,
