policy,mean_hit_rate,std_hit_rate,mean_outage,std_outage
topk,0.7283240000000001,0.003921971599143702,0.45620407214558467,0.06731615177188228
lru,0.606842,0.005011419205073514,0.45630102592265037,0.06847203823409342
lfu,0.66373,0.004456421644946866,0.45713064467691217,0.06712198264313747
random,0.557562,0.005342661952125914,0.45445754512879816,0.06845410629075761
