seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,policy,run_idx
2051,10000,6652,0.6652,3348,0.5,1674,0,0,1674,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(10)]",lfu,27
2052,10000,6618,0.6618,3382,0.45150798344175047,1691,0,164,1527,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,28
2053,10000,6590,0.659,3410,0.5,1705,0,0,1705,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",lfu,29
2054,10000,6633,0.6633,3367,0.31036531036531034,1683,1,638,1045,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(9)]",lfu,30
2055,10000,6633,0.6633,3367,0.39144639144639143,1683,1,365,1318,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(4), np.int32(3), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",lfu,31
2056,10000,6685,0.6685,3315,0.4057315233785822,1657,1,312,1345,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(6), np.int32(5), np.int32(7), np.int32(8), np.int32(12)]",lfu,32
2057,10000,6647,0.6647,3353,0.4998508798091262,1676,1,0,1676,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,33
2058,10000,6691,0.6691,3309,0.324267150196434,1654,1,581,1073,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",lfu,34
2059,10000,6568,0.6568,3432,0.5,1716,0,0,1716,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",lfu,35
2060,10000,6684,0.6684,3316,0.5,1658,0,0,1658,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(10)]",lfu,36
2061,10000,6618,0.6618,3382,0.26522767593140156,1691,0,794,897,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(10), np.int32(8)]",lfu,37
2062,10000,6575,0.6575,3425,0.4840875912408759,1712,1,54,1658,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(6), np.int32(5), np.int32(7), np.int32(8), np.int32(9)]",lfu,38
2063,10000,6603,0.6603,3397,0.47571386517515457,1698,1,82,1616,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,39
2064,10000,6660,0.666,3340,0.5,1670,0,0,1670,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(10)]",lfu,40
2065,10000,6639,0.6639,3361,0.40493900624814044,1680,1,319,1361,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,41
2066,10000,6702,0.6702,3298,0.35112189205579136,1649,0,491,1158,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(9), np.int32(8)]",lfu,42
2067,10000,6686,0.6686,3314,0.5,1657,0,0,1657,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(9), np.int32(7)]",lfu,43
2068,10000,6658,0.6658,3342,0.5,1671,0,0,1671,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(6), np.int32(5), np.int32(8), np.int32(9), np.int32(7)]",lfu,44
2069,10000,6700,0.67,3300,0.5,1650,0,0,1650,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",lfu,45
2070,10000,6654,0.6654,3346,0.46921697549312613,1673,0,103,1570,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",lfu,46
2071,10000,6615,0.6615,3385,0.4998522895125554,1692,1,0,1692,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(5), np.int32(4), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,47
2072,10000,6640,0.664,3360,0.3261904761904762,1680,0,584,1096,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,48
2073,10000,6642,0.6642,3358,0.5,1679,0,0,1679,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,49
2074,10000,6616,0.6616,3384,0.5,1692,0,0,1692,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",lfu,50
