seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,policy,run_idx
2065,10000,5585,0.5585,4415,0.33091732729331824,2207,1,746,1461,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,41
2066,10000,5622,0.5622,4378,0.3273184102329831,2189,0,756,1433,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(9), np.int32(8)]",random,42
2067,10000,5508,0.5508,4492,0.5,2246,0,0,2246,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(9), np.int32(7)]",random,43
2068,10000,5578,0.5578,4422,0.5,2211,0,0,2211,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(6), np.int32(5), np.int32(8), np.int32(9), np.int32(7)]",random,44
2069,10000,5605,0.5605,4395,0.4998862343572241,2197,1,0,2197,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",random,45
2070,10000,5605,0.5605,4395,0.4998862343572241,2197,1,0,2197,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",random,46
2071,10000,5544,0.5544,4456,0.5,2228,0,0,2228,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(5), np.int32(4), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,47
2072,10000,5538,0.5538,4462,0.3164500224114747,2231,0,819,1412,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,48
2073,10000,5607,0.5607,4393,0.4998861825631687,2196,1,0,2196,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,49
2074,10000,5610,0.561,4390,0.5,2195,0,0,2195,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",random,50
