seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,policy,run_idx
2052,10000,7265,0.7265,2735,0.48007312614259595,1367,1,54,1313,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,28
2053,10000,7303,0.7303,2697,0.4998146088246199,1348,1,0,1348,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",topk,29
2054,10000,7270,0.727,2730,0.3065934065934066,1365,0,528,837,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(7), np.int32(6), np.int32(8), np.int32(9)]",topk,30
2055,10000,7286,0.7286,2714,0.39572586588061903,1357,0,283,1074,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(4), np.int32(3), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",topk,31
2056,10000,7368,0.7368,2632,0.3943768996960486,1316,0,278,1038,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(6), np.int32(5), np.int32(7), np.int32(8), np.int32(12)]",topk,32
2057,10000,7264,0.7264,2736,0.5,1368,0,0,1368,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",topk,33
2058,10000,7313,0.7313,2687,0.31410494975809455,1343,1,499,844,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",topk,34
2059,10000,7208,0.7208,2792,0.5,1396,0,0,1396,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",topk,35
2060,10000,7327,0.7327,2673,0.4998129442573887,1336,1,0,1336,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(10)]",topk,36
2061,10000,7284,0.7284,2716,0.26877761413843887,1358,0,628,730,0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(10), np.int32(8)]",topk,37
