policy,hit_rate_mean,hit_rate_std,outage_rate_mean,outage_rate_std,noma_success_mean,noma_success_std,ber_mean,ber_std
topk,0.728425,0.0037193484149214864,0.47135924806405727,0.056035086935497885,0.5,0.0,0.010000000000000002,1.7797887332061147e-18
lru,0.6072799999999999,0.0049831928044493535,0.4710527828227655,0.0542978306079577,0.5,0.0,0.010000000000000002,1.7797887332061147e-18
lfu,0.663905,0.005417270141821764,0.472319833846356,0.05514028467119986,0.5,0.0,0.010000000000000002,1.7797887332061147e-18
random,0.55721,0.0063049604531503186,0.4707367231891846,0.05297083340691099,0.5,0.0,0.010000000000000002,1.7797887332061147e-18
rl_dqn_noma,0.5415650000000001,0.0059699488669237594,0.3656546024738329,0.02209183358144494,0.634345397526167,0.022091833581444936,0.22509915721279805,0.007350394964378641
