policy,hit_rate_improvement_%,outage_reduction_%,noma_success_improvement_%,ber_reduction_%,combined_score
lru,-16.631087620551195,0.06501733922702076,0.0,0.0,-16.566070281324176
lfu,-8.857466451590764,-0.20379058780410245,0.0,0.0,-9.061257039394865
random,-23.504822047568386,0.1320701518914692,0.0,0.0,-23.372751895676917
rl_dqn_noma,-25.65260665133678,22.425495208669204,26.869079505233408,-2150.9915506180646,23.641968062565834
