seed,total_requests,hits,hit_rate,num_misses,outage_rate,pair_count,single_count,pairs_both_satisfied,pairs_partial,pairs_none,top_popular,noma_success_rate,avg_ber,avg_ber_weak,avg_ber_strong,cumulative_reward,policy,total_transmissions,outages,q_table_size,final_epsilon,cache_contents_count
2025,10000,6017,0.6017,3983.0,0.49987446648255085,1991.0,1.0,0.0,1991.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2026,10000,6066,0.6066,3934.0,0.5,1967.0,0.0,0.0,1967.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2027,10000,6062,0.6062,3938.0,0.5,1969.0,0.0,0.0,1969.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2028,10000,6163,0.6163,3837.0,0.43784206411258797,1918.0,1.0,238.0,1680.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2029,10000,6039,0.6039,3961.0,0.49987376925018934,1980.0,1.0,0.0,1980.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(8), np.int32(7), np.int32(11)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2030,10000,6146,0.6146,3854.0,0.5,1927.0,0.0,0.0,1927.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2031,10000,6105,0.6105,3895.0,0.49114249037227214,1947.0,1.0,34.0,1913.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2032,10000,6032,0.6032,3968.0,0.5,1984.0,0.0,0.0,1984.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2033,10000,6107,0.6107,3893.0,0.4998715643462625,1946.0,1.0,0.0,1946.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2034,10000,6035,0.6035,3965.0,0.4998738965952081,1982.0,1.0,0.0,1982.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2035,10000,6103,0.6103,3897.0,0.4998716961765461,1948.0,1.0,0.0,1948.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(9)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
2036,10000,5992,0.5992,4008.0,0.5,2004.0,0.0,0.0,2004.0,0.0,"[np.int32(0), np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7), np.int32(8), np.int32(10)]",0.5,0.01,0.01,0.01,0.0,lru,,,,,
