,hit_rate_improvement_%,outage_reduction_%,noma_success_improvement_%,combined_score
lru,-16.710751730281654,0.24888207545020086,0.0,-16.461869654831453
lfu,-8.839854724868102,0.08329812898112215,0.0,-8.75655659588698
stable_dqn,-21.504831083396148,26.632737755475137,27.50177364573996,5.127906672078989
