snr_db,avg_sum_rate_per_request,sem_sum_rate_per_request,avg_sum_rate_tx_only,sem_sum_rate_tx_only,avg_rate_weak,sem_rate_weak,avg_rate_strong,sem_rate_strong,outage_prob_weak,sem_outage_weak,outage_prob_strong,sem_outage_strong,avg_ber_weak,sem_ber_weak,avg_ber_strong,sem_ber_strong,cache_hits_weak,cache_hits_strong,cache_hit_rate_fraction
-10,0.18294565970723034,0.001936054135602665,0.18294565970723034,0.001936054135602665,0.009573640767672488,0.0005597710042474701,0.17337201893955784,0.0022756978172903666,1.0,0.0,1.0,0.0,0.4750774318472959,0.0012173427828431527,0.31217637711590346,0.001387191161360764,0,0,0.0
-8,0.2746955677924324,0.002994356335375307,0.2746955677924324,0.002994356335375307,0.016485406765331924,0.0008993887792463996,0.25821016102710054,0.0035645195548731005,1.0,0.0,1.0,0.0,0.4655626498637657,0.0015571109514574092,0.27317866509873934,0.0017260907300208784,0,0,0.0
-6,0.4139207059972539,0.004530833295029256,0.4139207059972539,0.004530833295029256,0.023490236024045305,0.001339308138105396,0.39043046997320857,0.005369354513760457,1.0,0.0,0.611,0.01542455564730851,0.45996159118723406,0.0018756352502819684,0.22529124750707513,0.0020748189556483356,0,0,0.0
-4,0.6054196539358241,0.006224790270006442,0.6054196539358241,0.006224790270006442,0.03315332808825105,0.001914236632467598,0.572266325847573,0.007474756265327089,1.0,0.0,0.366,0.0152406127264056,0.4530647654688531,0.0022315041231649423,0.17366069837298895,0.00220159728459721,0,0,0.0
-2,0.8614370473008549,0.00839745853653219,0.8614370473008549,0.00839745853653219,0.05117478088353571,0.002850435093472961,0.8102622664173192,0.010303254703608652,1.0,0.0,0.274,0.014111099288259692,0.4413291804699392,0.002744346772116439,0.1247963171522781,0.0022690805576950314,0,0,0.0
0,1.2066524387030815,0.010052837939980692,1.2066524387030815,0.010052837939980692,0.07190532483837231,0.003952267826651347,1.1347471138647092,0.012789188980332756,1.0,0.0,0.061,0.0075720760915574765,0.43075447969068825,0.0032274636846891624,0.07686581358166654,0.0019296515094543902,0,0,0.0
2,1.627138510541005,0.012223339462533546,1.627138510541005,0.012223339462533546,0.09765347840670298,0.005335336706758091,1.5294850321343019,0.01581355635379813,0.96,0.006199874066337029,0.019,0.004319451082910612,0.42011064036443874,0.0037263819335768074,0.04263348483807255,0.0015610793071216661,0,0,0.0
4,2.0645446796240283,0.014648541526204631,2.0645446796240283,0.014648541526204631,0.1440969133691412,0.007195613081557113,1.9204477662548871,0.019367334906372182,0.888,0.009977753031397177,0.014,0.0037172325482565404,0.3981033909154735,0.004335823621364514,0.02500266046012322,0.0012236190654201448,0,0,0.0
6,2.606804302372062,0.015921666028425124,2.606804302372062,0.015921666028425124,0.1686976688165869,0.008575447076468321,2.438106633555475,0.021679424246918377,0.833,0.011800434324644593,0.002,0.0014135055705578234,0.392779567142595,0.004675504321327583,0.010914241524761475,0.0007640353521714069,0,0,0.0
8,3.1960332460200886,0.01735629676606365,3.1960332460200886,0.01735629676606365,0.20290447809438542,0.010388416058542899,2.993128767925703,0.024674297056654537,0.79,0.012886662332274642,0.001,0.0010000000000000002,0.38583193766275764,0.005075055677830713,0.0051337740590507285,0.000539685496211871,0,0,0.0
10,3.776461223617999,0.019049014716453982,3.776461223617999,0.019049014716453982,0.24478889844278712,0.012084762240375538,3.531672325175212,0.028232517031299694,0.759,0.01353152253451555,0.001,0.001,0.37294624271948246,0.005408652409478705,0.0026422283777861304,0.0003942749912616714,0,0,0.0
12,4.310101164021249,0.021368232110888914,4.310101164021249,0.021368232110888914,0.28890884322990884,0.013656260072963016,4.021192320791339,0.03192762034732744,0.705,0.014428554438445427,0.0,0.0,0.3607234412603863,0.005722488800593176,0.001193836010762601,0.00021144205194387482,0,0,0.0
14,4.892829918492192,0.02408697190647152,4.892829918492192,0.02408697190647152,0.289962988268629,0.014606303706655725,4.602866930223563,0.03603226246086172,0.718,0.014236526215291381,0.0,0.0,0.3665840166489788,0.0057487913320927835,0.0007196759227593873,0.00016579935577913218,0,0,0.0
16,5.407854794067607,0.02940692553235106,5.407854794067607,0.02940692553235106,0.3559564706627699,0.016686928814998506,5.051898323404838,0.043483839884174307,0.673,0.014842213153411162,0.0,0.0,0.34925975504001544,0.006124348616502164,0.000825626685459757,0.00025411353266779907,0,0,0.0
18,5.951318442579698,0.03319824285084762,5.951318442579698,0.03319824285084762,0.36310430105616937,0.017737920962713732,5.588214141523529,0.04903519554106703,0.672,0.01485384248727031,0.0,0.0,0.3521884177932443,0.006150593044982621,0.000557728488926626,0.00018784086133225727,0,0,0.0
20,6.384896588077561,0.040365468758896926,6.384896588077561,0.040365468758896926,0.3893749709676795,0.018433666734031785,5.995521617109881,0.056935074064951394,0.655,0.015039986742055369,0.0,0.0,0.34589344436611774,0.006288154517060029,0.0004472480757495292,0.00013697154424427164,0,0,0.0
22,6.9264687995886325,0.04739390351462194,6.9264687995886325,0.04739390351462194,0.3783941224221914,0.019017368226672035,6.548074677166442,0.0644948079335796,0.671,0.014865395385928355,0.0,0.0,0.35467740965373334,0.006245949745310905,0.0003778978676816475,0.00010710625435916551,0,0,0.0
24,7.271842456726696,0.0557126663600246,7.271842456726696,0.0557126663600246,0.4178230359339889,0.019790537822217683,6.854019420792707,0.07362020888596162,0.638,0.015204840912919385,0.0,0.0,0.34054360080996243,0.006368472168934002,0.000425060223124291,0.00012546460891556585,0,0,0.0
26,7.7357000672255305,0.06386316516251068,7.7357000672255305,0.06386316516251068,0.43202201276954905,0.02084753898464583,7.3036780544559825,0.08272996723619981,0.644,0.01514904265930668,0.0,0.0,0.3421856346119789,0.00644121308607523,0.0003654600891624504,0.00012497713409267034,0,0,0.0
28,8.228681644383666,0.07144044067181868,8.228681644383666,0.07144044067181868,0.4103949327530546,0.020472009691124206,7.818286711630614,0.08994991940112074,0.657,0.015019206922357007,0.0,0.0,0.34790829849984517,0.006360503820973995,0.0004108337124875022,0.00013902842364101612,0,0,0.0
